"brand_search","food_code","product_name","maker","category_1","category_3","serving_size","calories","protein_g","sugar_g","sodium_mg","saturated_fat_g","report_number","updated_at"
"고메","P101-415000400-1184","고메 갈릭치즈 피자","씨제이제일제당(주)진천BLOSSOM CAMPUS","과자류·빵류 또는 떡류","빵류","100g","302.000","10.46","5.54","422.000","6.15","20180450285215","2026-05-14"
"고메","P108-002000200-0313","고메 고기짜장","씨제이제일제당㈜ 남원공장","면류","숙면","100g","165.000","5.00","4.00","570.000","1.30","19910492029897","2026-05-14"
"고메","P117-800050200-0888","고메 고추후라이드 순살치킨","씨제이제일제당(주)진천BLOSSOM CAMPUS","식육가공품 및 포장육","분쇄가공육제품","100g","265.000","16.00","2.00","520.000","6.00","2018042302895","2026-05-07"
"고메","P108-011000200-0450","고메 김치우동","씨제이제일제당㈜ 남원공장","면류","숙면","100g","360.000","12.00","7.00","2,460.000","0.25","19910492029900","2026-05-07"
"고메","P123-204020300-1454","고메 까르보나라 파스타","CJ(QINGDAO)FOODSCO.,LTD.","즉석식품류","즉석조리식품","100g","232.000","6.40","2.80","592.000","3.60","25CN5HA00D3","2026-05-07"
"고메","P117-800080000-0200","고메 대가 탕수육","농업회사법인 지엔티 주식회사","식육가공품 및 포장육","해당없음","100g","220.000","8.00","10.00","510.000","2.10","20110360061163","2026-05-07"
"고메","P101-415000400-0600","고메 리얼불고기 바삭엣지 피자","이든푸드영농조합법인","과자류·빵류 또는 떡류","빵류","100g","282.000","12.12","7.88","451.000","5.76","20120439037321","2026-05-07"
"고메","P108-002000200-0306","고메 마라탕면","씨제이제일제당㈜ 남원공장","면류","숙면","100g","195.000","9.00","2.00","1,210.000","1.20","19910492029877","2026-05-14"
"고메","P123-206020300-0605","고메 머쉬룸 크림 스프","㈜신세계푸드 음성공장","즉석식품류","즉석조리식품","100g","65.00","1.70","2.40","243.000","3.02","201504452221379","2026-05-07"
"고메","P116-704070400-0860","고메 모듬감자","에스엠푸드코리아(주)","농산가공식품류","서류가공품","100g","150.000","2.40","0.00","253.000","0.60","20130368394165","2026-05-07"
"고메","P108-011000200-0451","고메 미역우동","씨제이제일제당㈜ 남원공장","면류","숙면","100g","365.000","12.00","4.00","2,100.000","1.20","19910492029901","2026-05-07"
"고메","P108-011000200-0452","고메 미역우동 한그릇","씨제이제일제당㈜ 남원공장","면류","숙면","100g","355.000","11.00","4.00","2,490.000","0.80","19910492029902","2026-05-07"
"고메","P117-800050200-0012","고메 바삭튀겨낸 통등심 돈카츠","(주)상신종합식품 제2공장","식육가공품 및 포장육","분쇄가공육제품","100g","320.000","15.33","1.33","313.000","4.67","2014044801897	","2026-05-07"
"고메","P101-410000400-0674","고메 버터 크루아상","주식회사더블스윗","과자류·빵류 또는 떡류","빵류","100g","433.000","7.50","5.00","415.000","15.00","2023048916868","2026-05-07"
"고메","P108-014000200-0001","고메 봉골레 오일 파스타","씨제이제일제당㈜ 남원공장","면류","숙면","100g","163.000","4.79","0.64","409.000","1.02","19910492029192","2026-05-07"
"고메","P101-415000400-1213","고메 불고기 피자","씨제이제일제당(주)진천BLOSSOM CAMPUS","과자류·빵류 또는 떡류","빵류","100g","240.000","10.62","7.90","570.000","3.46","2024_RD_10059","2026-06-01"
"고메","P112-013001300-0324","고메 불맛 소스(Gourmet  Bulmat)","연호전통식품","장류","혼합장","100g","234.000","2.00","28.00","1.00","0.30","2009061600575","2026-05-07"
"고메","P112-013001300-0325","고메 불맛(Gourmet  Bulmat) 소스-매운맛","농업회사법인주식회사드레스푸드","장류","혼합장","100g","158.000","3.80","18.30","1,164.000","0.30","2024093300511","2026-05-07"
"고메","P112-013001300-0326","고메 불맛(Gourmet  Bulmat) 소스-순한맛","농업회사법인주식회사드레스푸드","장류","혼합장","100g","125.000","3.10","10.80","711.000","0.30","2024093300510","2026-05-07"
"고메","P101-425000100-0006","고메 브라우니 듀오","(주)코롬방제과","과자류·빵류 또는 떡류","과자","100g","524.000","6.00","32.00","77.00","20.00","19900490051615","2026-05-07"
"고메","P101-416000400-0178","고메 빅 크리스피 핫도그","(주)씨엔에스푸드시스템","과자류·빵류 또는 떡류","빵류","100g","312.000","7.69","8.46","638.000","4.62","20030435223253","2026-05-07"
"고메","P101-409000400-6773","고메 산딸기 케이크","주식회사 레헴(삼송지점)","과자류·빵류 또는 떡류","빵류","100g","274.000","3.00","11.00","139.000","12.00","20200335089148","2026-05-14"
"고메","P123-302030100-2851","고메 새우하가우","주식회사 푸드웨어","즉석식품류","만두","100g","230.000","3.70","2.22","511.000","2.82","20030493186679","2026-05-07"
"고메","P123-302030100-2394","고메 샤오롱바오","주식회사 푸드웨어","즉석식품류","만두","100g","188.000","9.22","2.13","298.000","3.48","20030493186673","2026-05-07"
"고메","P101-405000400-2755","고메 소금빵","부천혜림직업재활시설","과자류·빵류 또는 떡류","빵류","100g","388.000","8.55","5.07","570.000","5.57","20000294072116","2026-05-07"
"고메","P117-800050200-0569","고메 소바바치킨 양념 봉","씨제이제일제당(주)진천BLOSSOM CAMPUS","식육가공품 및 포장육","분쇄가공육제품","100g","325.000","12.00","8.00","580.000","3.90","20180423028201","2026-05-07"
"고메","P117-501050200-0366","고메 소바바치킨 양념 순살","씨제이제일제당(주)진천BLOSSOM CAMPUS","식육가공품 및 포장육","분쇄가공육제품","100g","305.000","15.00","8.00","570.000","2.80","20180423028200","2026-05-07"
"고메","P102-103010300-1176","고메 솔티드 카라멜","(주)테이트","빙과류","아이스밀크","100g","135.000","3.00","17.00","120.000","3.40","2010026209454","2026-05-14"
"고메","P101-415000400-0601","고메 슈퍼슈프림 바삭엣지 피자","이든푸드영농조합법인","과자류·빵류 또는 떡류","빵류","100g","271.000","11.67","6.39","408.000","5.28","20120439037322","2026-05-07"
"고메","P101-415000400-1185","고메 스윗치즈 피자","씨제이제일제당(주)진천BLOSSOM CAMPUS","과자류·빵류 또는 떡류","빵류","100g","282.000","11.08","7.69","538.000","5.85","20180450285213","2026-05-14"
"고메","P101-406000100-0084","고메 스콘","발레리제","과자류·빵류 또는 떡류","과자","100g","422.000","7.00","12.80","214.000","11.00","2014027525249","2026-05-07"
"고메","P101-106000100-4083","고메 스틱","발레리제","과자류·빵류 또는 떡류","과자","100g","463.000","8.00","30.00","240.000","12.00","2014027525273","2026-05-07"
"고메","P101-415000400-0421","고메 어니언체다치즈 피자","씨제이제일제당(주)진천BLOSSOM CAMPUS","과자류·빵류 또는 떡류","빵류","100g","298.000","12.00","7.38","517.000","6.15","20180450285216","2026-05-07"
"고메","P101-416000400-0002","고메 오리지널 핫도그","㈜ 우양 서천공장","과자류·빵류 또는 떡류","빵류","100g","269.000","7.50","10.00","613.000","3.38","20210475029121","2026-05-07"
"고메","P117-800080000-0505","고메 유린기","농업회사법인 지엔티 주식회사","식육가공품 및 포장육","해당없음","100g","230.000","8.00","9.00","650.000","2.60","20110360061176","2026-05-07"
"고메","P108-002000200-0293","고메 중화 짬뽕","씨제이제일제당㈜ 남원공장","면류","숙면","100g","145.000","4.00","3.00","870.000","0.70","19910492029320","2026-05-07"
"고메","P108-002000200-0001","고메 중화짜장","씨제이제일제당㈜ 남원공장","면류","숙면","100g","146.000","3.95","3.68","405.000","1.16","19910492029835","2026-05-07"
"고메","P123-227020300-0296","고메 짜장소스","태원식품산업㈜","즉석식품류","즉석조리식품","100g","120.000","4.57","5.77","724.000","0.67","1985031100116530","2026-05-07"
"고메","P123-230020300-0095","고메 짬뽕국물","태원식품산업㈜","즉석식품류","즉석조리식품","100g","44.00","2.93","1.91","657.000","0.40","1985031100116531","2026-05-14"
"고메","P102-103010300-1034","고메 초코","젤라또 팩토리","빙과류","아이스밀크","100g","134.000","4.00","11.00","85.00","3.70","2018003621775","2026-05-07"
"고메","P102-103010300-1127","고메 초코","(주)테이트","빙과류","아이스밀크","100g","143.000","4.00","14.00","80.00","3.60","2010026209453","2026-05-07"
"고메","P101-409000400-7033","고메 초코무스 케이크","주식회사 레헴(삼송지점)","과자류·빵류 또는 떡류","빵류","100g","295.000","5.00","18.00","133.000","11.00","20200335089152","2026-06-01"
"고메","P101-416000400-0179","고메 치즈크리스피 핫도그","(주)씨엔에스푸드시스템","과자류·빵류 또는 떡류","빵류","100g","324.000","8.24","8.24","541.000","4.59","20030435223242","2026-05-07"
"고메","P101-416000400-0689","고메 치즈크리스피 핫도그","(주)씨엔에스푸드시스템","과자류·빵류 또는 떡류","빵류","100g","294.000","8.24","10.59","565.000","4.47","2024_RD_10060","2026-06-01"
"고메","P101-415000400-0027","고메 칠리핫도그 피자","씨제이제일제당㈜","과자류·빵류 또는 떡류","빵류","100g","263.000","10.47","6.51","549.000","5.35","20180450285208","2026-05-07"
"고메","P101-101000100-0774","고메 카라멜 팝콘 165g","TIANJINHUAFUYUANFOODCO.,LTD","과자류·빵류 또는 떡류","과자","100g","472.000","4.00","28.80","10.00","8.40","23CNYAV00D4","2026-05-07"
"고메","P108-011000200-0458","고메 카레우동","씨제이제일제당㈜ 남원공장","면류","숙면","100g","125.000","3.00","2.00","570.000","1.00","19910492029876","2026-05-14"
"고메","P117-501050100-1117","고메 컬후라이드 치킨","씨제이제일제당(주)진천BLOSSOM CAMPUS","식육가공품 및 포장육","양념육","100g","300.000","14.00","3.00","550.000","3.20","20180423028205","2026-05-07"
"고메","P101-415000400-1214","고메 콤비네이션 피자","씨제이제일제당(주)진천BLOSSOM CAMPUS","과자류·빵류 또는 떡류","빵류","100g","253.000","11.11","4.44","496.000","4.20","2024_RD_10061","2026-06-01"
"고메","P101-416000400-0180","고메 크리스피 핫도그","㈜우양","과자류·빵류 또는 떡류","빵류","100g","313.000","6.25","11.25","600.000","4.13","2021047502956","2026-05-07"
"고메","P101-416000400-0690","고메 크리스피 핫도그","㈜ 우양 서천공장","과자류·빵류 또는 떡류","빵류","100g","313.000","6.25","11.25","600.000","4.13","2024_RD_10062","2026-06-01"
"고메","P117-501050200-0367","고메 크리스피 후라이드 순살치킨","타이슨푸드코리아 유한회사","식육가공품 및 포장육","분쇄가공육제품","100g","270.000","14.00","0.00","480.000","3.30","2022034482375","2026-05-07"
"고메","P101-409000400-7034","고메 클로렐라 케이크","주식회사 레헴(삼송지점)","과자류·빵류 또는 떡류","빵류","100g","300.000","5.00","14.00","103.000","12.00","20200335089154","2026-06-01"
"고메","P105-001000100-1581","고메 토마토 잼","ESTILOKIKI,S.L","잼류","잼","100g","261.000","1.00","62.70","100.000","0.00","24ES0WE00D0","2026-05-07"
"고메","P101-415000400-1186","고메 토마토치즈 피자","씨제이제일제당(주)진천BLOSSOM CAMPUS","과자류·빵류 또는 떡류","빵류","100g","264.000","11.60","6.96","557.000","4.64","20180450285212","2026-05-14"
"고메","P101-415000400-1215","고메 토마토치즈 피자","씨제이제일제당(주)진천BLOSSOM CAMPUS","과자류·빵류 또는 떡류","빵류","100g","264.000","11.59","6.96","557.000","4.64","2024_RD_10063","2026-06-01"
"고메","P108-014000200-0002","고메 트러플 크림 파스타","씨제이제일제당㈜ 남원공장","면류","숙면","100g","149.000","4.59","0.81","389.000","2.97","19910492029193","2026-05-07"
"고메","P101-409000400-6774","고메 티라미스 케이크","주식회사 레헴(삼송지점)","과자류·빵류 또는 떡류","빵류","100g","295.000","5.00","9.00","142.000","13.00","20200335089147","2026-05-14"
"고메","P101-101000100-0821","고메 팝콘 셀렉션","JOESGOURMETFOODSLIMITED","과자류·빵류 또는 떡류","과자","100g","555.000","5.00","39.00","330.000","21.00","24GB04O00D8","2026-05-07"
"고메","P101-416000400-0181","고메 포테이토 치즈 핫도그","㈜우양","과자류·빵류 또는 떡류","빵류","100g","305.000","8.00","8.00","550.000","4.10","2021047502958","2026-05-07"
"고메","P123-206020300-0606","고메 포테이토 크림 스프","㈜신세계푸드 음성공장","즉석식품류","즉석조리식품","100g","83.00","2.10","2.26","259.000","3.11","201504452221380","2026-05-07"
"고메","P116-703070300-0070","고메 플랜테이블 식물성 너겟","씨제이제일제당(주)진천BLOSSOM CAMPUS","농산가공식품류","두류가공품","100g","220.000","11.00","4.00","510.000","1.60","2018045028539","2026-05-07"
"고메","P116-703070300-0163","고메 플랜테이블 식물성 함박스테이크","씨제이제일제당(주)진천BLOSSOM CAMPUS","농산가공식품류","두류가공품","100g","170.000","13.00","3.00","510.000","6.00","2018045028545","2026-05-07"
"고메","P124-200020000-0169","고메 플랜테이블 함박 스테이크","씨제이제일제당㈜","기타식품류","해당없음","100g","160.000","10.67","10.67","600.000","3.33","2008044309763","2026-05-07"
"고메","P123-302030100-1709","고메 플랜트립 김치왕만두","농업회사법인한만두식품 주식회사","즉석식품류","만두","100g","164.000","6.20","3.18","360.000","1.06","20130370018434","2026-05-07"
"고메","P123-302030100-1284","고메 플랜트립 비건 김치만두","농업회사법인한만두식품 주식회사","즉석식품류","만두","100g","184.000","5.20","2.10","354.000","0.90","20130370018368","2026-05-07"
"고메","P123-302030100-1285","고메 플랜트립 비건만두","농업회사법인한만두식품 주식회사","즉석식품류","만두","100g","147.000","5.10","1.70","278.000","0.70","20130370018367","2026-05-07"
"고메","P123-302030100-1710","고메 플랜트립 왕만두","농업회사법인한만두식품 주식회사","즉석식품류","만두","100g","138.000","4.38","3.32","423.000","0.72","20130370018433","2026-05-07"
"고메","P101-435000100-0004","고메 플레인 휘낭시에","제과다움","과자류·빵류 또는 떡류","과자","100g","463.000","7.80","30.50","102.000","14.00","202303467666","2026-05-07"
"고메","P116-302030200-0730","고메 하루견과 산양유단백","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","632.000","20.00","8.00","60.00","7.20","2016036852376","2026-05-07"
"고메","P116-302030200-0731","고메 하루견과 콜라겐","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","645.000","15.00","5.00","25.00","7.00","2016036852377","2026-05-07"
"고메","P101-415000400-1226","고메 허니 고르곤졸라 피자","씨제이제일제당(주)진천BLOSSOM CAMPUS","과자류·빵류 또는 떡류","빵류","100g","270.000","12.00","4.00","560.000","4.90","20180450285402","2026-06-01"
"고메","P103-203010400-0524","고메 화이트 베이킹 칩스","10 GUITTARD ROAD BURLINGAME","코코아가공품류 또는 초콜릿류","기타 코코아가공품","100g","565.000","7.00","60.00","110.000","27.00","2024_RD_10064","2026-06-01"
"고메","P117-501050200-0368","고메 후라이드 순살치킨","씨제이제일제당(주)진천BLOSSOM CAMPUS","식육가공품 및 포장육","분쇄가공육제품","100g","295.000","11.00","1.00","390.000","4.30","2018042302826","2026-05-07"
"고메","P101-415000400-0028","고메고르곤졸라피자","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","314.000","13.33","5.61","502.000","8.07","198504330151884","2026-05-07"
"고메","P120-402040000-0261","고메공방 조미김가루","㈜해농","수산가공식품류","해당없음","100g","540.000","14.00","0.00","2,290.000","6.00","2012051204886","2026-05-07"
"고메","P117-700050200-0101","고메공방 통등심돈까스","(주)늘찬애","식육가공품 및 포장육","분쇄가공육제품","100g","290.000","16.00","1.00","370.000","3.00","20180506017205","2026-05-07"
"고메","P108-008000300-0096","고메공방메밀면","평창봉평메밀식품","면류","건면","100g","355.000","10.10","2.30","439.000","0.30","201603971539","2026-05-07"
"고메","P101-415000400-0029","고메그릴피자디아볼라","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","285.000","13.00","6.00","563.000","6.33","198504330151867","2026-05-07"
"고메","P101-415000400-0030","고메그릴피자불고기","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","258.000","12.50","5.00","475.000","3.89","198504330151960","2026-05-07"
"고메","P101-415000400-0031","고메그릴피자콤비네이션","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","257.000","10.60","3.86","467.000","5.54","198504330151829","2026-05-07"
"고메","P101-415000400-0032","고메그릴피자포테이토","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","263.000","11.00","4.75","530.000","5.25","198504330151984","2026-05-07"
"고메","P113-206020400-6534","고메까르보소스","(주)아이엠소스","조미식품","소스","100g","251.000","0.92","16.76","787.000","3.11","20120046517192","2026-05-07"
"고메","P101-415000400-0033","고메나폴리마르게리타피자","씨제이제일제당㈜","과자류·빵류 또는 떡류","빵류","100g","242.000","11.33","4.67","347.000","4.33","20180450285201","2026-05-07"
"고메","P116-302030200-0017","고메넛츠","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","680.000","16.00","4.00","0.00","4.80","2016036852312","2026-05-07"
"고메","P116-302030200-0425","고메넛츠 리미티드 ’25","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","600.000","16.00","4.00","20.00","5.20","2016036852373","2026-05-07"
"고메","P116-302030200-1414","고메넛츠 리미티드 ’27","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","640.000","20.00","4.00","0.00","7.20","2016036852378","2026-05-07"
"고메","P116-302030200-0019","고메넛츠 리저브","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","597.000","20.00","3.33","17.00","3.33","2016036852331","2026-05-07"
